CURIE,Identifier,Name,Equivalent Identifiers,Equivalent Name,Types,MicroKG_Name
PANTHER.FAMILY:PTHR31184:SF2,PANTHER.FAMILY:PTHR31184:SF2,HUNTINGTIN-INTERACTING PROTEIN K,PANTHER.FAMILY:PTHR31184:SF2,HUNTINGTIN-INTERACTING PROTEIN K,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",HUNTINGTIN-INTERACTING PROTEIN K
NCBITaxon:1738645,NCBITaxon:1738645,Caproiciproducens,NCBITaxon:1738645,Caproiciproducens,"biolink:OrganismTaxon, biolink:NamedThing",Caproiciproducens
NCBIGene:63140567,NCBIGene:63140567,FY206_RS02870,NCBIGene:63140567,FY206_RS02870,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",FY206_RS02870
UMLS:C0013710,UMLS:C0013710,Egg Food Product,UMLS:C0013710,Egg Food Product,"biolink:Food, biolink:ChemicalMixture, biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",Egg Food Product
NCBIGene:55967057,NCBIGene:55967057,GMORB2_0827,NCBIGene:55967057,GMORB2_0827,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",GMORB2_0827
MESH:C108137,MESH:C108137,cysteine sulfinate desulfinase,"MESH:C108137, UMLS:C0665742","cysteine sulfinate desulfinase, cysteine sulfinate desulfinase","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",cysteine sulfinate desulfinase
NCBIGene:886112,NCBIGene:886112,embC,"NCBIGene:886112, UniProtKB:P9WNL5","embC, EMBC_MYCTU Probable arabinosyltransferase C (sprot)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",embC
NCBIGene:17778018,NCBIGene:17778018,86,"NCBIGene:17778018, UniProtKB:V5R4K5","86, V5R4K5_9CAUD SprT-like protein (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",86
NCBITaxon:2024218,NCBITaxon:2024218,Prevotella sp. P4-119,NCBITaxon:2024218,Prevotella sp. P4-119,"biolink:OrganismTaxon, biolink:NamedThing",Prevotella sp. P4-119
NCBIGene:879112,NCBIGene:879112,pqqC,"NCBIGene:879112, UniProtKB:Q9I2C2","pqqC, PQQC_PSEAE Pyrroloquinoline-quinone synthase (sprot)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",pqqC
NCBIGene:987731,NCBIGene:987731,lmo1344,"NCBIGene:987731, UniProtKB:Q8Y7D9","lmo1344, Q8Y7D9_LISMO Lmo1344 protein (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",lmo1344
NCBIGene:102303097,NCBIGene:102303097,LOC102303097,"NCBIGene:102303097, ENSEMBL:ENSHBUG00000009024, UniProtKB:A0A3Q2WLQ4, ENSEMBL:ENSHBUP00000026380, ENSEMBL:ENSHBUP00000026380.1","LOC102303097, No label, A0A3Q2WLQ4_HAPBU Mannose-specific lectin-like (trembl), No label, No label","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",LOC102303097
NCBIGene:103916672,NCBIGene:103916672,CA10,NCBIGene:103916672,CA10,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",CA10
PR:000034627,PR:000034627,UPF0716 protein FxsA,PR:000034627,UPF0716 protein FxsA,"biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:GeneOrGeneProduct, biolink:MacromolecularMachineMixin",UPF0716 protein FxsA
NCBIGene:20310611,NCBIGene:20310611,HMPREF1120_05972,"NCBIGene:20310611, UniProtKB:H6C2N4","HMPREF1120_05972, H6C2N4_EXODN MFS transporter, SP family, arabinose:H+ symporter (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",HMPREF1120_05972
NCBIGene:60374819,NCBIGene:60374819,APT_RS02090,NCBIGene:60374819,APT_RS02090,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",APT_RS02090
PANTHER.FAMILY:PTHR23412:SF15,PANTHER.FAMILY:PTHR23412:SF15,MESOTHELIN-LIKE PROTEIN,PANTHER.FAMILY:PTHR23412:SF15,MESOTHELIN-LIKE PROTEIN,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",MESOTHELIN-LIKE PROTEIN
MESH:C287333,MESH:C287333,diamine N-acetyltransferase,"MESH:C287333, UMLS:C0072632","diamine N-acetyltransferase, Spermidine/Spermine N1-Acetyltransferase","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",diamine N-acetyltransferase
UniProtKB:Q86W56,UniProtKB:Q86W56,PARG_HUMAN Poly(ADP-ribose) glycohydrolase (sprot),"UniProtKB:Q86W56, PR:Q86W56, UMLS:C5848977","PARG_HUMAN Poly(ADP-ribose) glycohydrolase (sprot), poly(ADP-ribose) glycohydrolase (human), PARG protein, human","biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:GeneOrGeneProduct, biolink:MacromolecularMachineMixin",PARG_HUMAN Poly(ADP-ribose) glycohydrolase (sprot)
PANTHER.FAMILY:PTHR15146:SF1,PANTHER.FAMILY:PTHR15146:SF1,INTEGRAL MEMBRANE PROTEIN GPR137C,PANTHER.FAMILY:PTHR15146:SF1,INTEGRAL MEMBRANE PROTEIN GPR137C,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",INTEGRAL MEMBRANE PROTEIN GPR137C
PANTHER.FAMILY:PTHR12308:SF22,PANTHER.FAMILY:PTHR12308:SF22,ANOCTAMIN-7,PANTHER.FAMILY:PTHR12308:SF22,ANOCTAMIN-7,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",ANOCTAMIN-7
NCBITaxon:574697,NCBITaxon:574697,Butyricimonas,NCBITaxon:574697,Butyricimonas,"biolink:OrganismTaxon, biolink:NamedThing",Butyricimonas
CHEBI:33161,CHEBI:33161,cis-obtusilate,"CHEBI:33161, PUBCHEM.COMPOUND:6857589, INCHIKEY:XKZKQTCECFWKBN-SREVYHEPSA-M","cis-obtusilate, cis-Obtusilate, No label","biolink:SmallMolecule, biolink:MolecularEntity, biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",cis-obtusilate
CHEBI:29993,CHEBI:29993,L-aspartate(2-),"CHEBI:29993, PUBCHEM.COMPOUND:5460541, INCHIKEY:CKLJMWTZIZZHCS-REOHCLBHSA-L","L-aspartate(2-), Aspartate, No label","biolink:SmallMolecule, biolink:MolecularEntity, biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",L-aspartate(2-)
UNII:7EE673MX97,UNII:7EE673MX97,HISTONE-LYSINE N-METHYLTRANSFERASE KMT5B,UNII:7EE673MX97,HISTONE-LYSINE N-METHYLTRANSFERASE KMT5B,"biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",HISTONE-LYSINE N-METHYLTRANSFERASE KMT5B
NCBIGene:128438022,NCBIGene:128438022,pdcd5,"NCBIGene:128438022, ENSEMBL:ENSOESG00000014411","pdcd5, No label","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",pdcd5
NCBIGene:55971628,NCBIGene:55971628,GMORB2_5400,NCBIGene:55971628,GMORB2_5400,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",GMORB2_5400
NCBIGene:127180759,NCBIGene:127180759,cep126,"NCBIGene:127180759, ENSEMBL:ENSLROG00010020498","cep126, No label","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",cep126
NCBIGene:11844904,NCBIGene:11844904,KPHS_p200910,"NCBIGene:11844904, UniProtKB:A0A0H3H1E3","KPHS_p200910, A0A0H3H1E3_KLEPH Conjugal transfer ATP-binding protein TraC (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",KPHS_p200910
NCBIGene:11638962,NCBIGene:11638962,glnQ,NCBIGene:11638962,glnQ,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",glnQ
CHEBI:58470,CHEBI:58470,apigenin-7-olate,"CHEBI:58470, PUBCHEM.COMPOUND:25200950, INCHIKEY:KZNIFHPLKGYRTM-UHFFFAOYSA-M","apigenin-7-olate, Apigenin-7-olate, No label","biolink:SmallMolecule, biolink:MolecularEntity, biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",apigenin-7-olate
NCBIGene:27724377,NCBIGene:27724377,SAPIO_CDS5305,"NCBIGene:27724377, UniProtKB:A0A084G6B3","SAPIO_CDS5305, A0A084G6B3_PSEDA Nucleoside-triphosphate phosphatase (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",SAPIO_CDS5305
MONDO:0003699,MONDO:0003699,phobic disorder,"MONDO:0003699, DOID:591, EFO:1001908, UMLS:C0349231, MESH:D010698, MEDDRA:10034912, MEDDRA:10034915, MEDDRA:10034917, MEDDRA:10034919, MEDDRA:10034922, NCIT:C35420, SNOMEDCT:386808001, SNOMEDCT:386810004, medgen:83881, ICD10:F40, ICD9:300.20, HP:5200230","phobic disorder, phobic disorder, phobic disorder, Phobic anxiety disorder, Phobic Disorders, No label, No label, No label, No label, No label, Phobia, No label, No label, No label, No label, No label, Maladaptive fear-related cognitions","biolink:Disease, biolink:DiseaseOrPhenotypicFeature, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",phobic disorder
NCBIGene:946687,NCBIGene:946687,flgC,NCBIGene:946687,flgC,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",flgC
NCBIGene:947639,NCBIGene:947639,prlF,NCBIGene:947639,prlF,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",prlF
NCBITaxon:1768113,NCBITaxon:1768113,bacterium P3,NCBITaxon:1768113,bacterium P3,"biolink:OrganismTaxon, biolink:NamedThing",bacterium P3
NCBIGene:66332921,NCBIGene:66332921,nrdH,"NCBIGene:66332921, UniProtKB:A0A085LFN9, UniProtKB:A0A1N6UNW7, UniProtKB:A0A1W6DPR3, UniProtKB:A0A4Y8R093","nrdH, A0A085LFN9_9MICO Glutaredoxin-like protein NrdH (trembl), A0A1N6UNW7_9MICO Glutaredoxin-like protein NrdH (trembl), A0A1W6DPR3_9MICO Glutaredoxin-like protein NrdH (trembl), A0A4Y8R093_9MICO Glutaredoxin-like protein NrdH (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",nrdH
PANTHER.FAMILY:PTHR23226:SF184,PANTHER.FAMILY:PTHR23226:SF184,ZINC FINGER AND SCAN DOMAIN-CONTAINING PROTEIN 29,PANTHER.FAMILY:PTHR23226:SF184,ZINC FINGER AND SCAN DOMAIN-CONTAINING PROTEIN 29,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",ZINC FINGER AND SCAN DOMAIN-CONTAINING PROTEIN 29
NCBIGene:23884286,NCBIGene:23884286,CNAG_00484,"NCBIGene:23884286, UniProtKB:J9VGX2","CNAG_00484, J9VGX2_CRYNH Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (trembl)","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin, biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrProteinOrPolypeptide",CNAG_00484
UMLS:C0314931,UMLS:C0314931,Ezakiella coagulans,UMLS:C0314931,Ezakiella coagulans,"biolink:OrganismTaxon, biolink:NamedThing",Ezakiella coagulans
PR:000024143,PR:000024143,sulfur carrier protein TusA,PR:000024143,sulfur carrier protein TusA,"biolink:Protein, biolink:GeneProductMixin, biolink:Polypeptide, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:GeneOrGeneProduct, biolink:MacromolecularMachineMixin",sulfur carrier protein TusA
NCBIGene:35403128,NCBIGene:35403128,FFUJ_09660,NCBIGene:35403128,FFUJ_09660,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",FFUJ_09660
NCBITaxon:1263029,NCBITaxon:1263029,Firmicutes bacterium CAG:552,NCBITaxon:1263029,Firmicutes bacterium CAG:552,"biolink:OrganismTaxon, biolink:NamedThing",Firmicutes bacterium CAG:552
NCBIGene:57244295,NCBIGene:57244295,rlmA,NCBIGene:57244295,rlmA,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",rlmA
UMLS:C0424653,UMLS:C0424653,Weight symptom (finding),UMLS:C0424653,Weight symptom (finding),"biolink:PhenotypicFeature, biolink:DiseaseOrPhenotypicFeature, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",Weight symptom (finding)
NCBIGene:127158583,NCBIGene:127158583,rapgefl1,"NCBIGene:127158583, ENSEMBL:ENSLROG00010013652","rapgefl1, No label","biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",rapgefl1
MESH:C413004,MESH:C413004,"RFXAP protein, human","MESH:C413004, UMLS:C1439168","RFXAP protein, human, Regulatory Factor X-Associated Protein, Human","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent","RFXAP protein, human"
NCBIGene:13468000,NCBIGene:13468000,EHEL_080600,NCBIGene:13468000,EHEL_080600,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",EHEL_080600
NCBIGene:127158110,NCBIGene:127158110,LOC127158110,NCBIGene:127158110,LOC127158110,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",LOC127158110
NCBITaxon:1262813,NCBITaxon:1262813,Clostridium sp. CAG:492,NCBITaxon:1262813,Clostridium sp. CAG:492,"biolink:OrganismTaxon, biolink:NamedThing",Clostridium sp. CAG:492
UMLS:C0011135,UMLS:C0011135,Defecation,UMLS:C0011135,Defecation,"biolink:PhysiologicalProcess, biolink:OntologyClass, biolink:BiologicalProcess, biolink:Occurrent, biolink:BiologicalProcessOrActivity, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",Defecation
PANTHER.FAMILY:PTHR24214:SF9,PANTHER.FAMILY:PTHR24214:SF9,LIM DOMAIN-BINDING PROTEIN 3,PANTHER.FAMILY:PTHR24214:SF9,LIM DOMAIN-BINDING PROTEIN 3,"biolink:GeneFamily, biolink:GeneGroupingMixin, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing",LIM DOMAIN-BINDING PROTEIN 3
MESH:C023315,MESH:C023315,3-hydroxybenzoate-6-hydroxylase,"MESH:C023315, UMLS:C0047449","3-hydroxybenzoate-6-hydroxylase, 3-Hydroxybenzoate 6-hydroxylase","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",3-hydroxybenzoate-6-hydroxylase
NCBIGene:72062381,NCBIGene:72062381,BNA6,NCBIGene:72062381,BNA6,"biolink:Gene, biolink:GeneOrGeneProduct, biolink:GenomicEntity, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:PhysicalEssence, biolink:OntologyClass, biolink:BiologicalEntity, biolink:ThingWithTaxon, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent, biolink:MacromolecularMachineMixin",BNA6
NCBITaxon:1263107,NCBITaxon:1263107,Blautia obeum CAG:39,NCBITaxon:1263107,Blautia obeum CAG:39,"biolink:OrganismTaxon, biolink:NamedThing",Blautia obeum CAG:39
MESH:C023084,MESH:C023084,galactose-6-phosphate isomerase,"MESH:C023084, UMLS:C0060976","galactose-6-phosphate isomerase, galactose-6-phosphate isomerase","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",galactose-6-phosphate isomerase
MESH:C033532,MESH:C033532,phosphomethylpyrimidine kinase,"MESH:C033532, UMLS:C0084036","phosphomethylpyrimidine kinase, Phosphomethylpyrimidine kinase","biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",phosphomethylpyrimidine kinase
CHEBI:30794,CHEBI:30794,Malonic acid,"CHEBI:30794, UNII:9KX7ZMG0MK, PUBCHEM.COMPOUND:867, CHEMBL.COMPOUND:CHEMBL7942, DRUGBANK:DB02175, MESH:C030290, CAS:141-82-2, CAS:87205-08-1, HMDB:HMDB0000691, INCHIKEY:OFOBLEOULBTSOW-UHFFFAOYSA-N, UMLS:C0065591","malonic acid, MALONIC ACID, Malonic acid, MALONIC ACID, Malonic acid, malonic acid, No label, No label, Malonic acid, No label, malonic acid","biolink:SmallMolecule, biolink:MolecularEntity, biolink:ChemicalEntity, biolink:PhysicalEssence, biolink:ChemicalOrDrugOrTreatment, biolink:ChemicalEntityOrGeneOrGeneProduct, biolink:ChemicalEntityOrProteinOrPolypeptide, biolink:NamedThing, biolink:PhysicalEssenceOrOccurrent",Malonic acid
NCBITaxon:43997,NCBITaxon:43997,Catonella morbi,"NCBITaxon:43997, MESH:C000651924, UMLS:C1011146","Catonella morbi, Catonella morbi, Catonella morbi","biolink:OrganismTaxon, biolink:NamedThing",Catonella morbi
NCBITaxon:1263067,NCBITaxon:1263067,Hungatella hathewayi CAG:224,NCBITaxon:1263067,Hungatella hathewayi CAG:224,"biolink:OrganismTaxon, biolink:NamedThing",Hungatella hathewayi CAG:224
